cik,cusip6,cusip8
67472.0,608554,60855420
1144331.0,30218U,30218U10
1084421.0,45768V,45768V10
1032220.0,577933,57793310
890491.0,067774,06777410
910721.0,466189,46618910
902270.0,249509,24950910
1012128.0,26613X,26613X10
1055726.0,371916,37191610
892533.0,405173,40517310
320193.0,037833,03783310
1144399.0,46115N,46115N10
52795.0,035290,03529010
1091862.0,227116,22711610
946842.0,023178,02317810
854701.0,45812P,45812P10
54507.0,95709T,95709T10
864233.0,670823,67082310
898173.0,686091,68609110
942133.0,365235,36523510
930182.0,352128,35212820
38725.0,353514,35351410
893162.0,225302,22530210
808326.0,290846,29084610
1011308.0,344912,34491210
899597.0,118255,11825510
931702.0,68750P,68750P10
6284.0,032657,03265720
812900.0,79377W,79377W10
855931.0,73755L,73755L10
1162315.0,023177,02317710
1018840.0,002896,00289620
1086195.0,04289L,04289L10
949297.0,00185E,00185E10
278041.0,460321,46032120
1050915.0,74762E,74762E10
314727.0,410252,41025210
769525.0,205920,20592020
769520.0,596278,59627810
933267.0,450047,45004720
98222.0,111111,111111
1051627.0,030514,03051410
902053.0,716597,71659710
1051628.0,G03910,G0391010
878088.0,717125,71712591
1157644.0,36466R,36466R10
731502.0,580031,58003120
878731.0,317884,31788420
924250.0,20441B,20441B40
1038914.0,G3930E,G3930E10
1002637.0,599902,59990210
32020.0,284470,28447010
921929.0,359065,35906510
868671.0,37637Q,37637Q10
1123360.0,37940X,37940X10
99780.0,896522,89652210
825313.0,01855A,01855A10
893741.0,358032,35803210
105634.0,29084Q,29084Q10
1048286.0,571903,57190320
1044942.0,743977,74397710
19353.0,161133,16113310
806168.0,461858,46185810
775368.0,017175,01717510
1490906.0,14057J,14057J10
1665918.0,912008,91200810
1024305.0,222070,22207020
1585364.0,G97822,G9782210
71691.0,650111,65011110
1682852.0,60770K,60770K10
1336917.0,904311,90431110
105319.0,948626,94862610
912750.0,651290,65129010
1279363.0,94946T,94946T10
1647088.0,971375,97137512
1327811.0,98138H,98138H10
54480.0,485170,48517030
1474464.0,64976L,64976L20
1642122.0,045528,04552810
1739445.0,039653,03965310
1575515.0,85208M,85208M10
861884.0,759509,75950910
1428439.0,77543R,77543R10
1633978.0,55024U,55024U10
1067837.0,293639,29363910
1451505.0,H8817H,H8817H10
1517518.0,18469P,18469P10
1467623.0,121286,12128667
1570318.0,184691,18469110
1037038.0,751212,75121210
793952.0,412822,41282210
1100663.0,464288,46428867
1022321.0,371927,37192710
1100663.0,503538,503538
1100663.0,46435u,46435u71
766829.0,784305,78430510
1378872.0,46138E,46138E74
1655020.0,30227M,30227M10
1353283.0,848637,84863710
1468328.0,006739,00673910
101199.0,910340,91034010
